Q21_rep1	Q21_rep2	Q21_rep3	Q107_rep1	Q107_rep2	Q107_rep3	Q107CI_rep1	Q107CI_rep2	Q107CI_rep3	Q107CI_rep4
0,73051	0,60357	0,70935	0,78155	0,56767	0,61903	0,72648	0,66236	0,7733	0,55746
0,71371	0,27742	0,69982	0,68795	0,49717	0,53869	0,59036	0,71584	0,41994	0,454
0,67113	0,79217	0,69676	0,58665	0,86232	0,51783	0,8001	0,42596	0,62533	0,54548
0,57805	0,44188	0,59796	0,56813	0,46303	0,50176	0,79854	0,50622	0,88389	0,88057
0,55919	0,40972	0,79083	0,78798	0,42647	0,4645	0,73467	0,61563	0,73113	0,46281
0,5389	0,64102	0,71494	0,56126	0,42633	0,42327	0,85108	0,95776	0,54094	0,39317
0,58751	0,78974	0,77808	0,84904	0,68858	0,8667	0,45101	0,67512	0,37508	0,72819
0,88615	0,87498	0,33682	0,86233	0,84777	0,42441	0,38884	0,79181	0,43951	0,5683
0,29947	0,73302	0,66398	0,65985	0,77099	0,61773	0,4453	0,57019	0,12198	0,38319
0,62048	0,67427	0,7319	0,75568	0,16085	0,90302	0,47512	0,36264	0,3623	0,70322
0,18887	0,6534	0,76168	0,84858	0,68511	0,74586	0,74546	0,72601	0,44938	0,41745
0,64483	0,86661	0,58799	0,83133	0,5486	0,78624	0,30699	0,74116	0,35296	0,49284
0,83911	0,4496	0,48742	0,87854	0,63239	0,36152	0,4959	0,54179	0,48746	0,4967
0,28335	0,77344	0,68951	0,63598	0,75469	0,71817	0,83379	0,63316	0,3751	0,77658
0,77467	0,75744	0,83086	0,80632	0,55435	0,53442	0,9155	0,72064	0,43348	0,50356
0,60479	0,82977	0,80888	0,55348	0,61489	0,59589	0,94358	0,81315	0,59529	0,70862
0,66475	0,27034	0,65924	0,72053	0,83495	0,76468	0,79303	0,93076	0,7013	0,50772
0,94584	0,22083	0,64763	0,68081	0,50744	0,51745	0,98136	0,91731	0,73382	0,73269
0,75592	0,13107	0,68372	0,62501	0,61425	0,47587	0,76813	0,86272	0,77132	0,65968
0,71973	0,042334	0,57895	0,81874	0,96199	0,3211	0,46918	0,84652	0,8794	0,50182
0,5231	0,84318	0,67202	0,4829	0,63173	0,39812	0,6255	0,79066	0,38232	0,4017
0,6072	0,87021	0,64797	0,84501	0,50406	0,61981	0,59546	0,57655	0,41579	0,44552
0,76298	0,20815	0,78077	0,7864	0,80826	0,69031	0,42019	0,46586	0,21868	0,63794
0,81568	0,60046	0,87278	0,66378	0,44932	0,47087	0,051583	0,32621	0,83428	0,49075
0,87092	0,63457	0,61578	0,57595	0,82003	0,79796	0,22027	0,21168	0,69398	0,87255
0,50403	0,76346	0,60441	0,60127	0,82163	0,4397	0,53873	0,38741	0,79496	0,68714
0,64665	0,89708	0,54348	0,56853	0,90662	0,48216	0,70991	0,22411	0,41807	0,64599
0,58742	0,37749	0,53696	0,21375	0,87842	0,42777	0,75235	0,75749	0,76869	0,63296
